case,method,true_positive,false_positive,precision,sensitivity,f1,balanced_accuracy,inv_fpr,ldist
SS,TESS,0.67601941747572802,5.9166666666666701E-2,0.98989209706998804,0.67601285424413404,0.80338290777768295,0.80842637540453099,0.94083333333333297,2.3782130658980001
SS,PSST,0.44465048543689301,1.2583333333333301E-2,0.99669212857173906,0.44464616848380101,0.614949782480258,0.71603357605177997,0.98741666666666705,2.10604454002979
SS,EGGER4,0.41441747572815502,8.7833333333333305E-2,0.975880201188843,0.41441345229658,0.58177332851758801,0.66329207119741096,0.91216666666666701,1.0007638853060501
SS,EK,0.34051098411845798,5.3439717300048303E-2,0.98201656831629902,0.34050767821866901,0.50567569180789995,0.64353563340920505,0.94656028269995196,1.0528455698469199
SS,EGGER3,0.33990291262135902,5.425E-2,0.98171723403062106,0.33989961262511997,0.50496527552410897,0.64282645631068003,0.94574999999999998,1.0437942586265301
SS,EGGER1,0.32937864077669898,8.8166666666666699E-2,0.96972988423610096,0.329375442956864,0.49173104517849298,0.62060598705501602,0.91183333333333305,0.83646124175117498
SS,EGGER5,0.31692233009708698,4.7833333333333401E-2,0.98269010777289401,0.31691925321113401,0.47927234820399101,0.63454449838187699,0.95216666666666705,1.0303873227893701
SS,EGGER2,0.29762912868449698,5.9650590865051999E-2,0.97715181647159099,0.29762623910935998,0.45627710471181498,0.61898926890972195,0.94034940913494802,0.91766445537004204
SS,SKEW2,0.258505821325623,2.6926676676676701E-2,0.98797337745191904,0.258503311584734,0.40978606671939599,0.61578957232447296,0.97307332332332297,1.13019477035545
SS,TES,0.21966990291262101,4.5416666666666702E-2,0.97643707923355805,0.21966777021582301,0.35865042441726502,0.58712661812297695,0.95458333333333301,0.57565661542010405
SS,BEGG,0.21866990291262101,2.3916666666666701E-2,0.98737451229669904,0.21866777992446701,0.35804215814071499,0.59737661812297704,0.97608333333333297,1.0713116888346801
SS,PUNIF,0.20233737095136001,2.1712362022115701E-2,0.98760569347400595,0.20233540652993701,0.335861328732455,0.59031250446462202,0.97828763797788398,1.0641119230835501
SS,SKEW1,1.1450147426675199E-2,2.0833333333333398E-3,0.97842977354524197,1.1450036261274599E-2,2.2635185151202102E-2,0.50468340704667103,0.99791666666666701,0.303248543454257
SM,TESS,0.64952054794520597,7.5749999999999998E-2,0.98735996001832504,0.64951165052533499,0.78357006519421402,0.78688527397260299,0.92425000000000002,1.94064130876013
SM,EGGER1,0.47764383561643797,0.28025,0.93955969928053695,0.47763729263982702,0.63331880267363705,0.59869691780821899,0.71975,0.43901376644120998
SM,PSST,0.44346575342465799,2.1749999999999999E-2,0.99462332554995703,0.443459678634539,0.61342125458317498,0.71085787671232903,0.97824999999999995,1.8143916655569099
SM,EGGER2,0.32831745433734799,0.11032367757146,0.96444417422139594,0.32831295689958301,0.48986698426275199,0.60899688838294397,0.88967632242854,0.66246282239292897
SM,EGGER4,0.31913698630137,7.2999999999999995E-2,0.97550456410685904,0.31913261462171699,0.48093060702083601,0.62306849315068502,0.92700000000000005,0.85064384677483096
SM,TES,0.30312328767123298,0.123375,0.95725904135663598,0.30311913535431001,0.46043884016354703,0.58987414383561598,0.87662499999999999,0.50779580293220095
SM,EGGER3,0.26447945205479501,6.8125000000000005E-2,0.97249785926560195,0.26447582909823197,0.41585715208822099,0.59817722602739698,0.93187500000000001,0.73907656000963995
SM,EK,0.26404143286376303,6.7826447148285895E-2,0.97257068688520698,0.26403781590738001,0.415322132106964,0.59810749285773801,0.93217355285171399,0.73999751299092298
SM,EGGER5,0.22994520547945199,5.0250000000000003E-2,0.97655477340159402,0.22994205558827999,0.37223638984365998,0.58984760273972603,0.94974999999999998,0.79039459772709897
SM,SKEW2,0.199147676453444,2.8000000000000001E-2,0.98475896855527101,0.199144948440452,0.33129339501951899,0.58557383822672204,0.97199999999999998,0.94881385514405003
SM,BEGG,0.15264383561643799,2.2249999999999999E-2,0.98419007242536605,0.152641744633635,0.26429325332352699,0.56519691780821901,0.97775000000000001,0.89600921798115296
SM,PUNIF,0.11221883277504301,1.0130460236900099E-2,0.99008417951345895,0.112217295551816,0.20158653781545299,0.55104418626907103,0.98986953976309999,1.07698993464981
SM,SKEW1,2.2227703980003E-2,2.1250000000000002E-3,0.98902855397818101,2.2227399495078501E-2,4.3477682788037902E-2,0.51005135199000196,0.99787499999999996,0.47233524814942501
SL,TESS,0.85046236559139798,0.105333333333333,0.98425794569302405,0.85045322093310805,0.91247642176061905,0.87256451612903196,0.89466666666666705,3.05806401828699
SL,PSM3,0.83981334767897298,5.89552139676447E-2,0.99101062499397397,0.83980431752502105,0.90916343564250701,0.89042906685566403,0.94104478603235497,3.3620527599535199
SL,PSST,0.819913978494624,8.3666666666666695E-2,0.98699147002860599,0.81990516231008304,0.89572296162294396,0.868123655913978,0.916333333333333,3.03607368102973
SL,TES,0.76503225806451602,0.33683333333333298,0.94623026692024303,0.76502403199965596,0.84603310502282603,0.71409946236559096,0.66316666666666702,1.6124288982463699
SL,EGGER1,0.75009677419354803,0.51083333333333303,0.91921201739359604,0.75008870872356204,0.82608309501393895,0.61963172043010795,0.48916666666666703,0.65252086898174499
SL,EGGER4,0.69427956989247297,8.3833333333333301E-2,0.98464353793366399,0.69427210460102595,0.81434769448087496,0.80522311827957005,0.91616666666666702,2.0031883913864101
SL,EGGER2,0.67916577017410296,9.4522788319381504E-2,0.98234347986197201,0.67915846739488395,0.80308890800868904,0.79232149092736104,0.90547721168061801,1.8424945515021101
SL,SKEW2,0.67074606584076801,5.5666666666666698E-2,0.98938910157169402,0.67073885359503005,0.79948260576211405,0.80753969958705096,0.94433333333333302,2.3249623818080698
SL,BEGG,0.51219354838709696,3.4250000000000003E-2,0.99142488448570099,0.51218804098880699,0.675434429658195,0.73897177419354798,0.96575,1.7551111258884899
SL,EK,0.47303439999138902,0.171083333333333,0.95539262662887203,0.47302931365468298,0.63276641964108304,0.65097553332902802,0.82891666666666697,0.767808638955639
SL,EGGER3,0.47303225806451599,0.171083333333333,0.95539243365330295,0.47302717175084102,0.63276446093766403,0.65097446236559098,0.82891666666666697,0.76779668989670702
SL,EGGER5,0.43061290322580598,0.102166666666667,0.97027184183747595,0.43060827302932198,0.59649227331967503,0.66422311827957004,0.89783333333333304,0.96933487872894497
SL,SKEW1,0.35906607597587897,2.1666666666666699E-2,0.99224464031131898,0.35906221509184599,0.527308149201826,0.66869970465460604,0.97833333333333306,1.6107678140108399
SL,PUNIF,0.121088402439083,5.0698594944240697E-3,0.99453872757462902,0.121087100427251,0.21588924845941301,0.55800927147233004,0.99493014050557604,1.5224129364541501
MS,PSST,0.93588311688311698,1.9916666666666701E-2,0.99668063565827103,0.93587096271476999,0.96531908053367099,0.95798322510822498,0.98008333333333297,4.8570734158335096
MS,TES,0.89840259740259698,3.85833333333334E-2,0.99333725822432195,0.89839092998792203,0.94348140369061595,0.92990963203463195,0.96141666666666703,4.0314135629215802
MS,TESS,0.89300000000000002,1.8249999999999999E-2,0.99681071599425897,0.89298840274801605,0.94204764971023303,0.93737499999999996,0.98175000000000001,5.1708140136053098
MS,EGGER4,0.87724675324675305,0.148166666666667,0.97433900212038604,0.87723536057973295,0.92324093816630604,0.86454004329004297,0.851833333333333,2.7394098091366801
MS,BEGG,0.84344155844155799,4.3749999999999997E-2,0.99196590857020694,0.84343060479734,0.91168791060699195,0.89984577922077902,0.95625000000000004,3.5135865179729802
MS,EGGER5,0.807467532467532,4.5583333333333399E-2,0.99126317299874001,0.80745704601238899,0.88996879562565701,0.88094209956710001,0.95441666666666702,3.2168726361351698
MS,EGGER2,0.80586556559356903,5.3830252309820199E-2,0.98968138190893395,0.80585509994292004,0.88835821158845196,0.87601765664187403,0.94616974769018003,3.03319194891343
MS,EGGER3,0.80537662337662297,5.7666666666666699E-2,0.98894860222941605,0.80536616407579098,0.88776591175880604,0.87385497835497805,0.94233333333333302,3.0242965202829599
MS,EK,0.80537662337662297,5.7666666666666699E-2,0.98894860222941605,0.80536616407579098,0.88776591175880604,0.87385497835497805,0.94233333333333302,3.0242965202829599
MS,EGGER1,0.798974025974026,5.86666666666667E-2,0.98867033072992005,0.79896364982273005,0.88375099657393497,0.87015367965367996,0.94133333333333302,2.9534312715003899
MS,CALI20,0.78613799178874799,1.6439449286856599E-2,0.99673521394391795,0.78612778233702896,0.87899209860708405,0.88484927125094603,0.98356055071314297,4.1093831565117096
MS,SKEW2,0.77058996703822102,4.2718902740341499E-2,0.99141796242336799,0.77057995950628,0.86715972116622797,0.86393553214894003,0.95728109725965804,3.03396090916914
MS,PUNIF,0.56324111709942104,2.7738198849661999E-2,0.99236081861415504,0.56323380237471499,0.71860772678736495,0.76775145912487996,0.972261801150338,2.2426357316885501
MS,SKEW1,0.18067522137485301,3.4529985035011902E-2,0.97100930972473698,0.18067287497387899,0.30465877816852399,0.57307261816992106,0.96547001496498797,0.70692454858865605
MM,TESS,0.96773118279569903,5.3999999999999999E-2,0.992840437737181,0.96772077719594396,0.98011968483356304,0.95686559139784899,0.94599999999999995,4.9173547690134098
MM,PSST,0.96618279569892496,6.0999999999999999E-2,0.99190842054135198,0.96617240674831495,0.97887128313787397,0.95259139784946201,0.93899999999999995,4.4792928032393702
MM,EGGER4,0.92015053763440902,0.129583333333333,0.98214162745323097,0.92014064364899295,0.95013073818498295,0.89528360215053804,0.87041666666666695,3.2738975372163299
MM,TES,0.91617204301075295,0.19316666666666699,0.97350410749174499,0.91616219180438896,0.94396312955617601,0.86150268817204301,0.80683333333333296,3.5066954498261098
MM,EGGER2,0.88253450093975205,7.8100935676295405E-2,0.98869814568206604,0.88252501142350004,0.93259944865381805,0.902216782631728,0.92189906432370505,3.3651428243825001
MM,CALI20,0.87775728251344698,1.8550281172875199E-2,0.99726830016060297,0.87774784436458297,0.93369873456824304,0.92960350067028596,0.98144971882712495,4.4925573427054903
MM,SKEW2,0.87521117735599696,5.4438543754174999E-2,0.99202594417537304,0.87520176658431303,0.92995926938821505,0.91038631680091098,0.94556145624582499,3.5622945968961601
MM,BEGG,0.86359139784946204,3.83333333333334E-2,0.99429278861033699,0.863582112020301,0.92433937943098698,0.91262903225806502,0.961666666666667,3.69508990798799
MM,EGGER1,0.86089247311827999,0.349333333333333,0.95023499810102496,0.86088321630950204,0.90335501559881504,0.75577956989247297,0.65066666666666695,2.0508755173584698
MM,CALI15,0.83692002636629503,2.11968883538915E-2,0.99672984792812303,0.83691102732299105,0.90985559086510903,0.90786156900620196,0.978803111646108,3.9921303703908202
MM,EGGER3,0.79390322580645201,0.17674999999999999,0.97206240537160205,0.79389468930441598,0.87399086152607297,0.80857661290322602,0.82325000000000004,2.2122366735107
MM,EK,0.79390322580645201,0.17674999999999999,0.97206240537160205,0.79389468930441598,0.87399086152607297,0.80857661290322602,0.82325000000000004,2.2122366735107
MM,EGGER5,0.79049462365591405,9.5666666666666594E-2,0.98461126364427798,0.79048612380511996,0.87693390430975404,0.84741397849462397,0.90433333333333299,2.6830141069131401
MM,PUNIF,0.522001067719287,9.7638242487541795E-3,0.99757181392698702,0.52199545486493304,0.68536347612335402,0.75611862173526601,0.99023617575124601,2.9440377769176398
MM,SKEW1,0.40318455650893997,3.2096359385437603E-2,0.98980642389556595,0.403180221237744,0.57297085275438597,0.68554409856175103,0.96790364061456202,1.48396406276325
ML,PSM3,0.99499995171065003,6.7625000000000005E-2,0.99347985580939002,0.99498796390385602,0.99423333796151303,0.96368747585532499,0.93237499999999995,4.8396317160135602
ML,PSST,0.988180722891566,0.15762499999999999,0.98484648359169602,0.98816881724316596,0.98650485320118297,0.91527786144578305,0.84237499999999998,4.1625747678596996
ML,TESS,0.97104819277108401,8.5375000000000006E-2,0.99158474920338102,0.97103649353622201,0.98120305328641699,0.94283659638554196,0.91462500000000002,4.6034324496847798
ML,TES,0.96969879518072299,0.52075000000000005,0.95077493739072905,0.96968711220346704,0.96013790388480502,0.72447439759036103,0.47925000000000001,2.87410979317462
ML,SKEW2,0.96495180722891605,0.12825,0.98733943144554803,0.96494018144359694,0.976011308867341,0.91835090361445804,0.87175000000000002,4.0692659072469901
ML,EGGER2,0.95973478205118501,0.13600000000000001,0.98651342865325198,0.95972321912083403,0.97293393846617704,0.911867391025592,0.86399999999999999,3.83278375873638
ML,EGGER4,0.94983132530120495,0.1095,0.988998030434183,0.949819881688172,0.96901311503619303,0.92016566265060296,0.89049999999999996,3.75159117184125
ML,CALI20,0.92710403174258604,1.9376626626626599E-2,0.99797663312905505,0.92709286194906904,0.96122972737496803,0.95386370255798003,0.98062337337337302,4.7683377366593902
ML,EGGER1,0.90589156626505996,0.63037500000000002,0.93713309984669602,0.90588065204033696,0.92124189813396196,0.63775828313253002,0.36962499999999998,1.43877545672384
ML,CALI15,0.90062496626267197,2.0534462691505599E-2,0.99779388689823401,0.90061411549019599,0.94671667814272797,0.94004525178558296,0.97946553730849395,4.4497913888701701
ML,BEGG,0.86992771084337395,6.3250000000000001E-2,0.99302718983372495,0.869917229912893,0.92740443896423697,0.90333885542168701,0.93674999999999997,3.4901566607603902
ML,CALI10,0.83074780714220697,1.8683545545484501E-2,0.99782253485478201,0.83073779825307104,0.90664648099818901,0.90603213079836098,0.98131645445451599,3.9923320771834998
ML,EGGER3,0.76427710843373498,0.27174999999999999,0.96684956561499802,0.76426790038674197,0.85370531118153603,0.74626355421686696,0.72824999999999995,1.52033827396918
ML,EK,0.76427710843373498,0.27174999999999999,0.96684956561499802,0.76426790038674197,0.85370531118153603,0.74626355421686696,0.72824999999999995,1.52033827396918
ML,EGGER5,0.75746987951807199,0.141625,0.982282357352665,0.75746075348489805,0.85534505629059698,0.80792243975903599,0.858375,2.10068623930374
ML,SKEW1,0.66446987951807202,4.7875000000000001E-2,0.99308544161339696,0.66446187395332601,0.79619737829877701,0.80829743975903601,0.952125,2.4098805129785701
ML,PUNIF,0.21068674698795201,3.7500000000000001E-4,0.999771310959922,0.21068420862399201,0.348027703697804,0.60515587349397604,0.99962499999999999,2.2622122471028598
